Renumbered Q#,Original Q#,Question,A,B,C,D,Correct Option,Correct Option Text
44,119,The amount of solar radiation reaching a given area is called?,Insolation,Albedo,Radiative forcing,Humidity,A,Insolation
45,120,What index measures drought severity?,Palmer Drought Severity Index (PDSI),AQI,UV index,Heat index,A,Palmer Drought Severity Index (PDSI)
46,121,Coldest place in india is?,Dras,Jaisalmer,Mumbai,Chennai,A,Dras
47,122,Which layer of atmosphere burns meteors?,Troposphere,Stratosphere,Mesosphere,Thermosphere,C,Mesosphere
48,123,Which atmospheric layer has auroras?,Troposphere,Stratosphere,Mesosphere,Thermosphere,D,Thermosphere
49,124,Which high-pressure system brings clear skies?,Cyclone,T ornado,Anticyclone,Front,C,Anticyclone
50,125,low-pressure system which brings rain is called?,Anticyclone,Ridge,Inversion,Cyclone,D,Cyclone
51,126,What is rising moist unstable air called?,Subsidence,Advection,Inversion,Convection,D,Convection
52,127,What is sinking air called?,Convection,Subsidence,Evaporation,Upwelling,B,Subsidence
53,128,The boundary which separates air masses is called?,Isobar,Thermocline,Front,Gyre,C,Front
54,129,The zone where the northeast and southeast trade winds converge is called?,Intertropical Convergence Zone (ITCZ),Polar front,Jet stream,Subtropical high,A,Intertropical Convergence Zone (ITCZ)
55,130,Which jet affects India in winter?,Polar jet,Easterly jet,Subtropical westerly jet,Low-level jet,C,Subtropical westerly jet
56,131,Which global warming treaty was signed in 2015?,Kyoto Protocol,Montreal Protocol,Copenhagen Accord,Paris Agreement,D,Paris Agreement
57,132,What index measures heat stress?,Richter scale,PDSI,Heat Index,AQI,C,Heat Index
58,133,Which ocean absorbs the most amount of heat?,Arctic Ocean,Southern Ocean,Pacific Ocean,Indian Ocean,C,Pacific Ocean
59,134,Suspension of fine solid particles or liquid droplets in air is called?,Matrix,Colloid,Aerosol,Magma,C,Aerosol
60,135,When was IMD established ?,1875,1947,1905,1969,A,1875
61,136,What is the main difference between weather and climate?,Climate changes hourly; weather changes yearly,Weather is short-term; climate is long-term average patterns,Weather is long-term; climate is short-term,They are the same,B,Weather is short-term; climate is long-term average patterns
62,137,What instrument is used to measure atmospheric pressure?,Thermometer,Hygrometer,Barometer,Anemometer,C,Barometer
63,138,Which gas contributes the most to the greenhouse effect naturally?,Cooling due to reflection of sunlight,Warming due to ozone depletion,Heating only from volcanoes,Warming due to trapping of outgoing infrared radiation by greenhouse gases,D,Warming due to trapping of outgoing infrared radiation by greenhouse gases
64,139,What scale is commonly used worldwide to measure temperature?,Kelvin,Fahrenheit,Rankine,Celsius,D,Celsius
65,140,What causes day and night?,Time Zone,Season,Rotation,Revolution,C,Rotation
66,141,What is the name of the boundary between two air masses?,Isobar,Thermocline,Front,Gyre,C,Front
67,142,El Niño is primarily associated with which ocean?,Arabian,Pacific,Antarctic,Indian,B,Pacific
68,143,What does the term “humidity” measure?,Dust,Pollution,Heat,Moisture,D,Moisture
69,144,Which layer of the atmosphere contains most weather phenomena?,Mesosphere,Exosphere,Stratosphere,Troposphere,D,Troposphere
70,145,What type of cloud is typically associated with thunderstorms?,Cumulonimbus,Cirrus,Stratus,None of the above,A,Cumulonimbus
71,146,What is the primary driver of global atmospheric circulation?,Volcanoes,Earth’s magnetic field,Uneven solar heating of Earth,Ocean salinity,C,Uneven solar heating of Earth
72,147,The Coriolis effect is caused by:,Drag due to friction,Apparent deflection of moving air/objects due to Earth's rotation,Gravity variation with latitude,Magnetic field deflection,B,Apparent deflection of moving air/objects due to Earth's rotation
73,148,The long-term average of weather conditions in a region is called:,Averaged Weather,None of the above,Climate,Season,C,Climate
74,149,Which phenomenon involves warming of surface ocean waters in the central and eastern Pacific?,La Niña,El Niño,IOD,AMOC,B,El Niño
75,150,Which of the following is NOT a greenhouse gas?,Carbon dioxide (CO₂),Methane (CH₄),Oxygen (O₂),Nitrous oxide (N₂O),C,Oxygen (O₂)
